10.039,8.8201
7.2263,7.4896
7.7533,5.271
10.093,8.9433
9.1582,6.6462
5.8764,4.2599
7.9239,7.715
8.5143,5.6647
7.2526,6.3293
8.8019,3.1146
10.764,5.8599
6.7487,7.5204
7.0341,7.9241
4.087,8.6611
4.6035,6.2423
6.0029,5.7587
5.4356,6.9009
7.7191,5.0399
4.5452,8.6554
9.9833,7.3326
2.773,4.0161
9.1486,3.2703
7.9256,4.1457
10.096,5.0998
8.3977,4.2271
9.8189,5.5775
8.4254,10.031
5.7994,4.6622
6.9273,4.4026
10.092,7.8331
8.567,4.8433
7.1944,8.7249
9.5911,3.1467
6.547,8.8541
8.6836,3.7896
7.3593,10.383
6.296,1.7254
9.0458,6.9603
6.8264,6.1693
8.7989,3.3618
7.2516,9.7845
9.0815,3.5377
6.8875,5.8705
7.2397,8.1607
9.2132,8.6037
9.2355,7.0869
6.3846,5.476
4.2839,3.166
