5.8013,0.93419
4.7987,0.2611
7.2263,1.1607
7.3719,7.2516
8.9993,4.7394
5.8764,0.078469
6.3161,0.27961
3.9262,0.39933
8.5143,1.9027
7.2526,2.6431
7.4749,3.51
8.8019,6.1296
10.764,0.35953
5.358,3.8619
10.822,0.28141
6.7487,1.6231
7.0341,1.8942
8.8384,2.0327
10.57,2.6725
4.087,2.9645
5.9329,0.56928
6.3509,1.3114
4.9094,3.8524
5.4356,6.6462
4.5452,4.2599
3.295,1.8019
9.9833,0.5491
9.0873,4.7024
7.9256,5.6647
6.5523,3.3247
9.8189,3.4754
5.7994,3.1146
9.0625,2.8425
4.7642,3.4278
9.5911,4.4968
4.3785,0.67972
6.296,2.4337
