5.8013,6.6462
4.7987,7.8395
4.631,7.3653
3.3744,5.1138
3.3333,6.3293
2.2313,7.1981
3.0426,3.3247
0.60984,7.1624
3.24,2.7817
3.9078,10.22
1.3441,7.5204
7.9239,7.9241
1.6955,4.6085
2.4296,3.0604
1.412,8.6611
4.3164,5.7587
5.358,6.9009
2.3506,5.0399
4.9133,9.2198
4.1786,4.0161
3.5125,5.0998
1.2645,4.2271
6.3509,5.5775
4.9094,9.7621
4.1424,8.7312
2.773,7.8331
1.5259,4.4354
3.69,8.7249
3.9109,6.9117
0.36485,10.686
3.7143,6.1693
1.3618,2.8411
2.7411,8.5129
0.59385,8.6127
6.4798,10.288
2.356,9.7845
0.2611,7.5587
1.1607,5.8705
0.41533,8.6037
6.1829,4.4721
4.9925,4.8943
4.7394,8.6365
3.9804,8.6298
0.39933,8.7397
6.8875,9.6968
3.7021,4.646
5.0588,8.6841
1.9027,8.1422
2.6431,4.2224
6.3846,10.52
4.9454,1.0951
4.2839,6.5436
3.51,7.2009
6.1296,5.429
3.8619,8.0643
4.4974,9.0821
0.28141,6.1083
4.7882,8.5585
1.6231,8.7657
5.271,8.4334
2.0327,8.0454
2.9645,10.749
0.15607,3.8147
8.9433,7.7377
2.0852,10.054
3.8524,8.496
